City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Le Port,RE,85.96,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
1,Mecca,SA,65.59,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
2,Rikitea,PF,77.88,overcast clouds,-23.1203,-134.9692,People ThankYou
4,Hobart,AU,74.01,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
10,Sola,VU,80.44,light rain,-13.8833,167.55,Leumerus Bungalows
11,Hermanus,ZA,67.89,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
12,Victoria,HK,70.97,overcast clouds,22.2855,114.1577,Mini Hotel Central
15,Mataura,NZ,67.48,broken clouds,-46.1927,168.8643,Ellie's Villa
16,Port Lincoln,AU,72.72,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
18,Butaritari,KI,81.68,broken clouds,3.0707,172.7902,Isles Sunset Lodge
22,Plettenberg Bay,ZA,67.24,few clouds,-34.0527,23.3716,Thanda Vista B&B
23,Kahului,US,70.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
27,Port Alfred,ZA,68.7,overcast clouds,-33.5906,26.891,The Halyards Hotel
29,Vaini,TO,82.42,overcast clouds,-21.2,-175.2,Keleti Beach Resort
33,Bluff,NZ,67.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
34,Arraial Do Cabo,BR,75.67,light rain,-22.9661,-42.0278,Pousada Porto Praia
36,Buta,CD,71.94,broken clouds,2.7858,24.73,HOTEL BISO NA BISO
40,Puerto Ayora,EC,73.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
43,Balclutha,NZ,64.6,overcast clouds,-46.2339,169.75,Hotel South Otago
44,Ouesso,CG,69.71,scattered clouds,1.6136,16.0517,ABENIE Hotel
46,Burgersdorp,ZA,63.79,clear sky,-30.9977,26.3286,DeKat Self Catering
50,Sarangani,PH,82.27,broken clouds,5.4033,125.4636,Ballistic Islet
51,Ponta Do Sol,PT,60.71,broken clouds,32.6667,-17.1,Hotel do Campo
55,Atuona,PF,77.56,few clouds,-9.8,-139.0333,Villa Enata
57,Itupiranga,BR,75.52,overcast clouds,-5.1347,-49.3267,Hotel Panorama
58,Bredasdorp,ZA,67.28,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
62,Kilindoni,TZ,81.43,overcast clouds,-7.9139,39.6668,Bustani B&B
66,Te Anau,NZ,66.52,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
67,Oistins,BB,74.52,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
68,Hithadhoo,MV,81.07,scattered clouds,-0.6,73.0833,Scoop Guest House
69,Bambous Virieux,MU,86.22,clear sky,-20.3428,57.7575,Casa Tia Villa
70,Ixtapa,MX,68.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
71,Kieta,PG,83.35,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
72,Alofi,NU,82.42,light rain,-19.0595,-169.9187,Taloa Heights
73,Kruisfontein,ZA,67.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
76,Sur,OM,75.18,clear sky,22.5667,59.5289,Sur Plaza Hotel
77,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
79,Itoman,JP,66.22,light intensity shower rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
80,Kokoda,PG,80.17,overcast clouds,-8.8785,147.7407,Daito Guest House
81,Camopi,GF,69.85,broken clouds,3.1655,-52.3158,La pousada
85,Salalah,OM,78.89,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
86,Cabedelo,BR,72.27,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
87,Praia,CV,68.54,broken clouds,14.9215,-23.5087,LT Aparthotel
88,New Norfolk,AU,73.65,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
89,Cidreira,BR,69.35,scattered clouds,-30.1811,-50.2056,Hotel Castelo
94,Hilo,US,73.13,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
98,Caravelas,BR,74.75,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
100,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
102,Nicoya,CR,67.55,scattered clouds,10.1483,-85.452,Las Cabinas Del Sueño
107,Souillac,MU,86.36,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
109,Mar Del Plata,AR,62.1,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
112,Parrita,CR,80.37,scattered clouds,9.5201,-84.3225,Beso del Viento
115,Bengkulu,ID,84.22,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
122,Saint-Philippe,RE,85.55,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
123,Daru,PG,83.75,overcast clouds,-9.0763,143.2092,Daru Lodge
124,Kisangani,CD,73.65,overcast clouds,0.5167,25.2,Grand Ramela Hotel
125,Cabo San Lucas,MX,69.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
127,Moerai,PF,80.08,clear sky,-22.4333,-151.3333,Le Manotel
128,Piripiri,BR,68.85,overcast clouds,-4.2733,-41.7769,Califórnia Hotel
130,Coquimbo,CL,63.23,few clouds,-29.9533,-71.3436,Hostel Del Puerto
131,Bathsheba,BB,75.06,few clouds,13.2167,-59.5167,Atlantis Hotel
136,Kapaa,US,73.38,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
139,Cape Town,ZA,68.11,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
141,Faanui,PF,81.3,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
142,Mahebourg,MU,86.25,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
143,Cap Malheureux,MU,87.48,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
146,Kihei,US,70.97,few clouds,20.785,-156.4656,Maui Sunset
148,Dunedin,NZ,63.57,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
149,Isangel,VU,78.91,shower rain,-19.55,169.2667,Tanna Lodge
150,Upington,ZA,80.98,clear sky,-28.4478,21.2561,River Place Manor
151,Ponorogo,ID,86.4,broken clouds,-7.8685,111.462,Kencana Dewi Hotel
152,Gulu,UG,76.3,clear sky,2.7746,32.299,ACHOLI INN
156,Esperance,AU,80.17,clear sky,-33.8667,121.9,Hospitality Esperance
160,Tuatapere,NZ,67.82,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
163,Grand Gaube,MU,87.39,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
165,Makurdi,NG,75.72,overcast clouds,7.7411,8.5121,Doo Palace Hotel
167,Nishihara,JP,65.48,light intensity shower rain,26.1842,127.7558,Minshuku Agaihama
171,Sonoita,MX,61.54,overcast clouds,31.85,-112.8333,Santa Ana
177,Kaeo,NZ,70.32,overcast clouds,-35.1,173.7833,Bushido Lodge
182,Panaba,MX,69.8,overcast clouds,21.2833,-88.2667,Hotel California
