City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,High Level,CA,2022-01-26 02:11:26,58.5169,-117.136,33.6,98,100,12.08
1,Hithadhoo,MV,2022-01-26 02:11:27,-0.6,73.0833,81.23,67,100,18.45
2,Sattahip,TH,2022-01-26 02:09:34,12.6664,100.9007,84.97,89,20,0.0
3,Gravdal,NO,2022-01-26 02:11:27,68.1214,13.5031,34.86,98,100,19.51
4,Nizhniy Tsasuchey,RU,2022-01-26 02:11:27,50.5167,115.1333,2.08,82,28,8.9
5,Leningradskiy,RU,2022-01-26 02:11:27,69.3833,178.4167,-27.67,86,26,4.07
6,Hualmay,PE,2022-01-26 02:11:28,-11.0964,-77.6139,70.74,85,14,7.47
7,Bridlington,GB,2022-01-26 02:08:51,54.0831,-0.1919,40.69,85,43,10.6
8,Port Elizabeth,ZA,2022-01-26 02:11:28,-33.918,25.5701,69.1,88,95,9.95
9,Khor,RU,2022-01-26 02:11:28,47.8861,134.9464,0.36,93,99,3.71
10,Norman Wells,CA,2022-01-26 02:11:29,65.282,-126.8329,35.94,82,100,18.66
11,Bredasdorp,ZA,2022-01-26 02:11:29,-34.5322,20.0403,66.27,89,100,8.97
12,Ushuaia,AR,2022-01-26 02:11:29,-54.8,-68.3,42.46,75,40,24.16
13,Saint-Philippe,RE,2022-01-26 02:10:50,-21.3585,55.7679,72.99,67,97,10.67
14,Rikitea,PF,2022-01-26 02:11:29,-23.1203,-134.9692,78.28,76,100,15.88
15,Punta Arenas,CL,2022-01-26 02:06:57,-53.15,-70.9167,46.42,61,0,14.97
16,Mana,GF,2022-01-26 02:11:30,5.6592,-53.7767,76.5,85,88,8.59
17,Khorixas,NA,2022-01-26 02:11:30,-20.3667,14.9667,78.94,42,90,10.74
18,Georgetown,MY,2022-01-26 02:09:01,5.4112,100.3354,82.33,74,20,4.61
19,Kuldur,RU,2022-01-26 02:11:30,49.2167,131.6333,7.47,86,100,4.14
20,Semey,KZ,2022-01-26 02:11:31,50.4111,80.2275,-0.18,78,0,11.18
21,Hilo,US,2022-01-26 02:10:47,19.7297,-155.09,77.25,81,9,1.01
22,Sao Joao Da Barra,BR,2022-01-26 02:11:31,-21.6403,-41.0511,75.38,90,2,12.28
23,Ikalamavony,MG,2022-01-26 02:11:31,-21.15,46.5833,61.93,91,26,4.88
24,Mar Del Plata,AR,2022-01-26 02:11:32,-38.0023,-57.5575,76.08,98,75,8.01
25,Mitsamiouli,KM,2022-01-26 02:11:32,-11.3847,43.2844,80.94,76,100,9.31
26,Back Mountain,US,2022-01-26 02:11:32,41.3359,-75.9963,24.37,81,16,5.88
27,Medveda,RU,2022-01-26 02:11:32,56.5081,92.4078,5.18,97,100,3.22
28,Bluff,NZ,2022-01-26 02:11:33,-46.6,168.3333,53.08,83,98,18.07
29,Riyadh,SA,2022-01-26 02:06:47,24.6877,46.7219,55.54,41,0,10.0
30,Albany,US,2022-01-26 02:11:08,42.6001,-73.9662,22.26,74,11,6.91
31,Hobart,AU,2022-01-26 02:09:42,-42.8794,147.3294,68.02,71,75,1.01
32,Santo Antonio Do Sudoeste,BR,2022-01-26 02:11:33,-26.0736,-53.7253,70.3,90,76,3.83
33,Salalah,OM,2022-01-26 02:11:33,17.0151,54.0924,62.69,39,0,2.3
34,Mataura,NZ,2022-01-26 02:11:34,-46.1927,168.8643,50.63,97,100,3.58
35,Saint George,US,2022-01-26 02:11:34,37.1041,-113.5841,46.63,39,0,1.01
36,Pasewalk,DE,2022-01-26 02:11:34,53.5063,13.99,43.54,93,100,11.32
37,Namatanai,PG,2022-01-26 02:11:34,-3.6667,152.4333,85.6,67,79,6.15
38,Vestmannaeyjar,IS,2022-01-26 02:11:35,63.4427,-20.2734,35.91,67,100,9.42
39,Male,MV,2022-01-26 02:11:35,4.1748,73.5089,79.83,65,99,11.25
40,Kachug,RU,2022-01-26 02:11:35,53.9606,105.8817,-17.16,100,97,0.67
41,San Quintin,MX,2022-01-26 02:11:36,30.4833,-115.95,57.07,78,16,3.94
42,Atuona,PF,2022-01-26 02:11:36,-9.8,-139.0333,78.31,75,2,16.69
43,Grand Gaube,MU,2022-01-26 02:11:36,-20.0064,57.6608,73.38,71,1,3.0
44,Vaini,TO,2022-01-26 02:09:42,-21.2,-175.2,80.19,70,13,12.93
45,Yatou,CN,2022-01-26 02:12:36,37.15,122.3833,37.22,50,12,11.27
46,Poltar,SK,2022-01-26 02:12:37,48.4309,19.7941,33.12,91,64,2.08
47,New Norfolk,AU,2022-01-26 02:12:37,-42.7826,147.0587,67.66,49,100,4.25
48,Broome,US,2022-01-26 02:12:37,42.2506,-75.833,20.01,80,100,6.91
49,Caravelas,BR,2022-01-26 02:12:37,-17.7125,-39.2481,76.78,84,100,7.99
